Date	Open	High	Low	Close	Volume
28/03/2006	181.23	186.09	180.31	185	1096341
29/03/2006	186.27	190.25	184.44	189.78	867109
30/03/2006	190.32	192.13	188.27	190.19	1105940
31/03/2006	190.56	190.56	185.63	186.34	964382
03/04/2006	187.5	197.19	187.5	196.38	1567790
04/04/2006	198.88	199.12	195.01	197.04	1133881
05/04/2006	197.19	198.94	193.81	194.67	952612
07/04/2006	210.32	215.56	197.17	197.94	3926770
10/04/2006	201.19	204.38	198.34	199.33	1080528
12/04/2006	201.56	202.49	191.6	192.23	1694989
13/04/2006	193.5	196.54	186.38	188.68	2569190
17/04/2006	195.31	202.8	193.76	201.87	2581949
18/04/2006	203.46	209.19	203.46	208.5	1575534
19/04/2006	209.38	209.81	203.13	204.93	923049
20/04/2006	205	205.63	202.26	204.79	792376
21/04/2006	205.63	207.79	203.25	206.36	986940
24/04/2006	206.88	206.88	199.06	200.3	1108937
25/04/2006	200.63	200.63	194.38	196.37	1260108
26/04/2006	197.5	202.81	196.88	201.56	839431
27/04/2006	202	202	194.5	195.79	1883371
28/04/2006	196.25	197	187.56	196.23	914814
02/05/2006	199.34	202.19	197	197.77	999136
03/05/2006	198.56	199.5	196.2	198.21	729933
04/05/2006	198.25	201.53	198.25	200.71	484327
05/05/2006	200.94	203.06	199.38	200.76	503115
08/05/2006	202.19	202.47	201.25	201.77	308525
09/05/2006	201.06	203.94	198.82	202.32	579767
10/05/2006	202.19	204.5	202.19	203.52	493230
11/05/2006	203.31	204.55	200.95	203.5	556985
12/05/2006	202.19	205.31	199.44	202.64	558157
15/05/2006	199.38	203.06	194.44	196.94	909991
16/05/2006	197.5	206.25	191.31	196.88	863942
17/05/2006	199.37	203.06	197.81	200.51	647645
18/05/2006	199.57	199.57	187.5	189.62	1034941
19/05/2006	195	196.56	183.25	185.9	1257204
22/05/2006	189.04	193.61	173.44	176.48	1339265
23/05/2006	176.88	184.06	173.21	181.92	1005754
24/05/2006	183.75	183.81	175.7	178.81	1131211
25/05/2006	176.88	179.18	174.94	176.78	1691344
26/05/2006	179.38	185.92	179.18	183.39	915922
29/05/2006	183.75	186.5	183	185.48	415954
30/05/2006	185.88	192.81	184.78	189.16	1056003
31/05/2006	185.63	187.44	178.13	181.87	1195873
01/06/2006	184.31	185.31	175.32	176.87	1481478
02/06/2006	178.13	181.25	175.63	180.38	1007672
05/06/2006	182.38	182.75	175.64	176.52	1047856
06/06/2006	175	177.75	171.6	172.84	697867
07/06/2006	172.13	174.38	168.75	172.7	997412
08/06/2006	174.09	174.09	162.83	168.99	1638458
09/06/2006	167.7	176.56	167.7	174.67	898460
12/06/2006	175	178	170.31	172.7	803644
13/06/2006	171.69	171.88	163.77	164.94	896844
14/06/2006	168.42	169.94	153.13	155.32	2176197
15/06/2006	160	172.56	158.75	170.44	1219271
16/06/2006	172.56	182.11	172.56	175.07	1552768
19/06/2006	175	180.63	173.44	179.45	1098990
20/06/2006	178.63	179.38	175.06	177.75	705032
21/06/2006	176.56	183.44	175.63	182.7	854794
22/06/2006	187.17	187.17	183.19	184.49	770996
23/06/2006	183.19	188.13	180.63	186.97	682321
26/06/2006	187.44	187.44	180.63	181.26	685124
27/06/2006	181.56	186.25	177.63	185.47	1012546
28/06/2006	183.2	187.13	180	185.91	549783
29/06/2006	187.13	188.75	186.58	187.1	764786
30/06/2006	192.75	195.63	189.06	192.43	876688
03/07/2006	192.81	197.5	191.4	197.15	615360
04/07/2006	197.5	199.36	195.94	196.85	606075
05/07/2006	198.75	200.27	194.44	199.63	1022133
06/07/2006	196.63	199.38	195.31	197.74	461271
07/07/2006	199.38	202.5	193.25	194.06	707861
10/07/2006	199.31	199.69	193.82	199.25	764033
11/07/2006	199.94	201.56	195.94	196.76	810381
12/07/2006	206.25	212.5	200.31	211.6	4251043
13/07/2006	218.5	224.88	208.25	210.24	1423289
14/07/2006	206.25	207.63	202.5	206.09	1737712
17/07/2006	205.13	205.71	200	200.66	1552356
18/07/2006	201.29	205.63	200.63	203.69	1323057
19/07/2006	207.63	207.63	199.64	200.57	1448682
20/07/2006	212.34	212.34	204.13	205.98	1503490
21/07/2006	204.35	204.35	197.56	200.26	1140542
24/07/2006	199.96	202.45	196.5	201.41	1289813
25/07/2006	203.63	205.49	200	201.34	1349768
26/07/2006	203.14	206.85	200	205.8	1531257
27/07/2006	205.63	208.43	203.19	207.29	1810411
28/07/2006	207.64	207.76	201.29	203.78	784890
31/07/2006	205.63	208.75	204.58	206.94	1855611
01/08/2006	206.25	208.59	205.13	207.25	1146606
02/08/2006	207.13	209.88	206.25	208.33	1179629
03/08/2006	208.82	214.63	207.26	209.12	2402362
04/08/2006	209.38	211.99	208.75	210.08	1172978
07/08/2006	210	211.24	208.74	209.2	710928
08/08/2006	209.38	211.25	209.26	210.53	438892
09/08/2006	210.25	213.5	208.75	212.76	1221288
10/08/2006	212.5	214.75	211.38	213.58	1119607
11/08/2006	213.75	218.75	213.13	217.78	1530582
14/08/2006	219	220.58	217.51	219.44	791349
16/08/2006	221.25	223.13	217.54	219.04	1176127
17/08/2006	220.01	221.64	218.07	219.7	1031039
18/08/2006	220.63	221.09	201.25	220.25	552395
21/08/2006	220.5	225	218.63	224.76	1427415
22/08/2006	225.13	226.13	221.9	222.64	576198
23/08/2006	223.61	224.31	219.75	220.99	787832
24/08/2006	220	221.88	218.13	220.86	1087864
25/08/2006	221.75	222.49	220	220.84	638426
28/08/2006	220.84	222.14	218.13	221.59	605362
29/08/2006	222.5	226.38	222.25	225.73	1114522
30/08/2006	226.25	226.25	223.88	225.15	665088
31/08/2006	226	227.38	225.01	225.8	1228539
01/09/2006	226.25	226.88	225.02	226.31	603907
04/09/2006	226.5	231.88	226.39	230.96	756301
05/09/2006	233.75	233.75	228.13	229.37	372511
06/09/2006	231.25	231.25	228.72	229.36	736267
07/09/2006	228.09	228.7	224.88	225.86	1254551
08/09/2006	225.88	227.38	222.25	223.68	1247960
11/09/2006	225.14	225.14	215.01	216.69	940192
12/09/2006	217.5	222.5	215.14	221.44	1016220
13/09/2006	223.75	226.88	223.75	226.18	1144267
14/09/2006	226.92	230.13	226.88	228.91	1328208
15/09/2006	229.38	229.38	223.63	226.33	985739
18/09/2006	228.13	228.13	226.31	227.17	718067
19/09/2006	227.25	229.34	225.25	227.05	1213027
20/09/2006	225	229.88	224.54	228.81	897445
21/09/2006	230	231.25	228.46	229.76	957949
22/09/2006	228	229.75	226.42	228.75	677083
25/09/2006	228.63	228.63	226.5	227.07	393039
26/09/2006	229.38	230.83	227.63	229.98	745865
27/09/2006	230.01	231.49	229.07	229.71	769730
28/09/2006	230	234.4	227.75	232.27	1103193
29/09/2006	234.75	234.75	230.64	231.21	497551
03/10/2006	234.38	234.38	226.5	227.28	1106239
04/10/2006	229.11	230	224.38	224.99	1649642
05/10/2006	228	233.75	226.88	233.15	1223635
06/10/2006	233.13	234.96	230.67	234.19	844377
09/10/2006	233.13	239.99	231.31	237.02	1344539
10/10/2006	239.1	243.75	237.51	238.28	2101050
11/10/2006	250	255.55	244.38	247.5	3577516
12/10/2006	251.94	253.13	246.38	252.51	2313775
13/10/2006	253.75	262.49	253.75	261.13	3028448
16/10/2006	262.38	268.23	261.31	262.54	2240813
17/10/2006	263.63	265.61	256.52	258.84	1647165
18/10/2006	257.52	262.35	257.5	259.16	1569261
19/10/2006	258.75	260.46	257.5	258.56	966427
20/10/2006	261.25	261.25	256.88	258.01	932700
23/10/2006	262.5	262.5	254.38	255.19	777012
26/10/2006	255.19	260	255.19	259.17	1590685
27/10/2006	256.94	264.38	256.94	261.57	855210
30/10/2006	261.88	266.88	258.75	265.96	712012
31/10/2006	266.88	266.88	260.89	261.94	1066839
01/11/2006	262	264.73	260.14	262.93	554623
02/11/2006	261.63	262.5	259.63	260.59	700286
03/11/2006	261.19	261.85	257.38	259.36	731210
06/11/2006	261.24	261.24	256.94	258.75	407595
07/11/2006	260.01	266.71	260.01	262.79	1165747
08/11/2006	265	269	263.44	265.73	1703685
09/11/2006	267.49	269.75	263.79	267.14	1184989
10/11/2006	268.13	269.74	266.75	267.48	1539162
13/11/2006	267.5	270.75	266.88	270.02	1041867
14/11/2006	271.86	278.38	271.86	276.32	2259904
15/11/2006	277.18	280.02	274.03	277.83	944190
16/11/2006	277.13	278.09	269.26	274.99	1505112
17/11/2006	275.25	276.11	270.03	273.3	539331
20/11/2006	271.25	282.8	269.03	281.73	2439179
21/11/2006	283.13	283.13	276.97	282.06	2837819
22/11/2006	275	281.13	272.49	278.19	1738256
23/11/2006	278.19	280.63	278.19	279.63	781813
24/11/2006	278.75	280.84	277.79	279.44	437974
27/11/2006	279.38	279.93	276.63	277.23	475012
28/11/2006	275.34	275.34	270	270.61	1332855
29/11/2006	273.74	274.86	266.5	269.58	1550915
30/11/2006	271.86	274.38	270	272.46	1268278
01/12/2006	273.63	275.75	273.13	274.38	531626
04/12/2006	274.75	276.78	272.64	275.91	725524
05/12/2006	277.5	281.13	277.5	279.89	1304409
06/12/2006	280	285	277.77	281.11	1768578
07/12/2006	281.11	281.73	275.5	277.98	1606721
08/12/2006	278.13	278.48	273.78	274.44	1110995
11/12/2006	276.25	279.38	270.94	274.35	1451817
12/12/2006	274.75	278.25	267.65	270.53	1941761
13/12/2006	270.75	272.5	265.66	268.71	1560477
14/12/2006	271.25	275.96	270.13	274.51	918497
15/12/2006	274.38	280	274.38	279.19	1078563
18/12/2006	279.75	282.5	272.76	278.06	1971674
19/12/2006	276.26	276.52	266.88	269.7	2241204
20/12/2006	270.63	274.88	268.88	271.34	1266426
21/12/2006	271.88	271.88	268.13	270.46	835754
22/12/2006	271.25	272.63	270.01	271.73	516939
26/12/2006	270.63	278.09	270.63	277.43	758509
27/12/2006	278.13	282.4	278.13	281.58	1079694
28/12/2006	284.38	284.49	280.06	281.02	1122702
29/12/2006	281.5	283.23	278.29	280.23	761696
02/01/2007	281.63	287.13	279.76	284.08	1078733
03/01/2007	284.08	290	284.08	288.92	1361157
04/01/2007	290.15	290.63	284.38	285.66	1097133
05/01/2007	285.75	288.13	281.94	284.38	877744
08/01/2007	284.38	285	274.06	275.7	2310171
09/01/2007	277	279.43	271.68	273.76	1677051
10/01/2007	275	275	269.18	270.56	1894898
11/01/2007	272.63	276.86	261.89	272.88	4261526
12/01/2007	275	278.96	275	277.93	1729086
15/01/2007	279.12	280.94	278.75	280.37	1266845
16/01/2007	280.65	281.25	277.01	277.77	639226
17/01/2007	280.63	280.63	274.64	275.68	1100425
18/01/2007	275.75	279.13	275.75	278.02	988269
19/01/2007	278.13	279.75	273.13	275.29	1443893
22/01/2007	276.88	282.5	275.55	281.75	1215174
23/01/2007	281	281	277.52	279.39	863396
24/01/2007	275.13	282.13	275.13	279.26	457610
25/01/2007	280.13	281.84	277.68	280.13	849794
29/01/2007	279.38	281.88	276.54	280.55	818864
31/01/2007	280	281.88	277.67	280.91	1146388
01/02/2007	281.25	284.38	279.79	283.62	420908
02/02/2007	284.38	285	280.26	283.19	1230365
05/02/2007	279.38	284.55	279.38	283.66	912384
06/02/2007	283.75	285.87	282.5	284.12	820118
07/02/2007	281.94	296.25	281.94	294.63	1812308
08/02/2007	295.63	297.5	291.7	296.71	821431
09/02/2007	296.8	299.75	292.25	295.16	788101
12/02/2007	291.88	296.21	288.89	293.91	608511
13/02/2007	293.88	294.81	284.58	288.02	945127
14/02/2007	285.27	289.38	282.71	285.58	1205275
15/02/2007	290.61	301.88	286.88	297.87	1247356
19/02/2007	297.75	300	295.37	297.01	385831
20/02/2007	296.88	298.48	293.88	294.99	308990
21/02/2007	295	296.5	287.76	288.86	1168590
22/02/2007	288.5	291.88	283.75	285.94	1298600
23/02/2007	284.75	288.88	276.52	279.71	1444897
26/02/2007	279.25	280.88	269.38	277.27	1458781
27/02/2007	278.75	278.75	270.66	273.38	1119612
28/02/2007	272.5	272.5	256.25	259.69	3125049
01/03/2007	260	273.12	259.5	269.89	1704332
02/03/2007	271.7	272.38	259.38	261.69	1521013
05/03/2007	259.74	259.74	250	250.89	1743846
06/03/2007	251.63	269.21	251.63	264.31	1819108
07/03/2007	270.93	270.93	256.29	260.67	1283784
08/03/2007	261.25	268.25	260.16	266.97	1532651
09/03/2007	266.29	268.75	262.04	265.12	1010651
12/03/2007	265	267.99	262.5	264.41	1133243
13/03/2007	264.63	266.24	258.73	263.13	1433228
14/03/2007	259.38	261.21	251.53	252.5	2001160
15/03/2007	256.38	263.11	254.5	259.93	2143630
16/03/2007	261.25	263.13	253.13	255.93	945972
19/03/2007	258.75	261.47	255.9	260.91	682727
20/03/2007	262.5	263.59	256.25	256.99	672323
21/03/2007	257.7	262.5	256.04	261.74	1157339
22/03/2007	263.75	268.13	262.5	264.88	996793
23/03/2007	265	266.88	260.13	261.58	1359660
26/03/2007	263.13	263.13	255.03	257.27	1993575
28/03/2007	253.75	253.75	248.5	249.01	2684238
29/03/2007	245.24	253.63	244.89	248.84	3240899
30/03/2007	249.38	253.71	249.38	252.33	1811694
02/04/2007	250	250	239	240.37	1842360
03/04/2007	240.63	246.81	238.75	245.58	2194220
04/04/2007	247.5	249.98	243.78	249.29	1511198
05/04/2007	248.75	249.99	243.21	249.04	766225
09/04/2007	245	256.75	245	255.94	764018
10/04/2007	256.25	258	247.64	249.86	1481454
11/04/2007	250.63	254.88	248.47	249.53	1540596
12/04/2007	248.63	256.99	245	255.73	2253235
13/04/2007	262.5	266.5	253.29	260.86	4637018
16/04/2007	268.75	269.5	260.88	266.09	1677910
17/04/2007	263.75	266	258.26	260.34	1722421
18/04/2007	260.81	262.34	257.9	259.54	1186452
19/04/2007	256.27	257.18	253.16	254.99	1586206
20/04/2007	261.85	261.85	256.14	256.89	987653
23/04/2007	259.97	259.97	257.52	258.66	775565
24/04/2007	253.19	259.23	253.13	257.24	1304488
25/04/2007	255.75	256.25	251.5	252.31	1471188
26/04/2007	254.38	256.24	251	252.36	1449003
27/04/2007	253.75	254.34	248.88	250.64	1647492
30/04/2007	250.63	257.5	250.63	256.36	987568
03/05/2007	257.13	261.66	257.13	260.21	1065828
04/05/2007	260.04	261.25	256.52	258.99	919290
07/05/2007	259	259.38	254.44	255.23	965642
08/05/2007	253.75	254.38	249.39	250.28	1472354
09/05/2007	250.25	250.81	246.88	247.58	1478866
10/05/2007	251.13	251.84	246.25	246.78	1561674
11/05/2007	246.25	252.5	243.88	250.08	1587793
14/05/2007	252.25	252.96	247.83	250.24	916963
15/05/2007	249.88	250	246	246.68	1088213
16/05/2007	246.63	247.75	242	243.96	1958530
17/05/2007	245	248.63	245	247.94	2142384
18/05/2007	247.38	250.74	246	247.74	1198609
21/05/2007	248.26	249	243.78	245.05	1657902
22/05/2007	243.76	245.11	241.38	243.34	2378502
23/05/2007	243.75	244.25	240.01	240.72	1316432
24/05/2007	240.63	243.74	239.75	242.13	2395866
25/05/2007	243.75	249	238.13	248.19	2238083
28/05/2007	244.46	251.71	244.46	246.44	1669527
29/05/2007	246.88	246.88	243.16	244.21	832935
30/05/2007	243.13	244.97	237.63	238.27	2559607
31/05/2007	240	242.39	238.75	240.44	1746065
01/06/2007	241.63	243.74	241.5	242.32	967775
04/06/2007	243.75	246.09	238.6	239.54	1175648
05/06/2007	240	243.75	238.5	242.9	1787841
06/06/2007	246.75	246.75	241.25	242.29	2061002
07/06/2007	230.86	246.5	230.86	244.64	1664381
08/06/2007	243.74	246.88	238.94	243.86	2618464
11/06/2007	246.75	249.5	246.25	247.48	2305776
12/06/2007	245.25	249.86	245.25	248.69	1186206
13/06/2007	214.38	249.88	214.38	248.59	767901
14/06/2007	249.38	253.88	249.38	252.4	1986856
15/06/2007	253.75	254.75	250	251.18	1064914
18/06/2007	253.13	253.63	248.19	248.68	1235097
19/06/2007	248.75	248.86	242.75	244.58	1750723
20/06/2007	245.75	246.75	243.77	244.28	854423
21/06/2007	244.25	245.75	241.9	244.81	844835
22/06/2007	245.59	245.59	241.88	243.85	834245
25/06/2007	243.85	245.36	239.88	242.08	694669
26/06/2007	241.25	243.5	240	240.27	760742
27/06/2007	241.38	243.28	241	241.92	686031
28/06/2007	242.5	243.45	239.14	240.63	1049904
29/06/2007	243.75	246.25	240	241.13	1722066
02/07/2007	243	244.36	241.13	242.98	1148721
03/07/2007	243.75	244.13	241.91	243.43	704245
04/07/2007	245.13	245.13	240.25	241.38	729810
05/07/2007	241.39	242.5	238.75	239.6	959238
06/07/2007	230.84	247.09	230.84	246.48	2191955
09/07/2007	248.63	251.18	248.29	249.22	1805543
10/07/2007	249.38	255.24	249.38	252.56	2184938
11/07/2007	250	250	240.63	241.21	4702736
12/07/2007	243.75	244.96	239.38	240.28	3903578
13/07/2007	241.52	244.8	240.26	242.48	3367793
16/07/2007	243.13	244.38	241	241.98	1709987
17/07/2007	242.5	244.84	241.75	242.32	1106782
18/07/2007	242.64	244.31	241.9	243.07	846528
19/07/2007	243.5	250	243.25	249.56	2084644
20/07/2007	250	252.38	246.32	248.28	1631286
23/07/2007	246.76	247.99	241.4	243.48	1879252
24/07/2007	243.48	247.49	242.57	246.89	1111548
25/07/2007	247	251.25	243.13	248.61	1455899
26/07/2007	249.75	256.25	249.38	254.29	2836423
27/07/2007	250.13	251.88	245.21	250.98	1733311
30/07/2007	250.98	251.25	245.79	248.3	699777
31/07/2007	248.75	254.38	244.41	246.98	904263
01/08/2007	248.5	248.5	240.38	241.19	1479865
02/08/2007	243.75	243.75	236.56	237.4	1478333
03/08/2007	237.63	240.43	237.25	239.58	837398
06/08/2007	242.48	242.48	232.54	233.16	1127300
07/08/2007	234.38	237.5	232.89	234.81	1377863
08/08/2007	236.25	249.75	236.25	245.91	3064476
09/08/2007	248.75	250.63	240.63	241.78	1280598
10/08/2007	231.89	245.88	231.89	244.99	1856530
13/08/2007	246.25	246.25	240.15	243.74	784684
14/08/2007	243.75	245.13	241.83	244.43	561334
16/08/2007	233.75	240.88	232.78	239.14	1766986
17/08/2007	239.87	239.87	217.89	231.82	3440529
20/08/2007	239.38	239.38	227.56	228.65	1719108
21/08/2007	228.88	231.26	219.03	220.17	2510504
22/08/2007	220.63	226.05	218.75	223.59	1183042
23/08/2007	231.13	231.24	224.03	226.44	1723906
24/08/2007	222.64	229.19	222.64	228.2	925678
27/08/2007	229.88	231.38	227.04	230.96	670614
28/08/2007	228.75	236.75	228.25	235.03	1267184
29/08/2007	230.13	233.75	227.56	229.66	1451962
30/08/2007	231.25	233.8	230.13	233.15	1121626
31/08/2007	235.63	235.63	231	231.82	985667
03/09/2007	233.13	233.75	231.88	232.58	596234
04/09/2007	240.34	240.34	221.88	236.21	699221
05/09/2007	235.5	240.62	235.41	236.88	1087659
06/09/2007	234.5	238.63	234.5	237.98	485152
07/09/2007	238.88	240.63	237.63	238.56	669722
10/09/2007	236.56	238.09	233.21	233.94	741055
11/09/2007	235.75	235.75	226.88	227.85	975866
