Date	Open	High	Low	Close	Volume
28/03/2006	98.44	98.69	97.53	97.93	1832302
29/03/2006	98.57	98.79	97.48	98.29	1847797
30/03/2006	98.57	99.92	97.58	98.53	3259099
31/03/2006	99.05	100.05	97.58	98.49	8352073
03/04/2006	99.18	103.15	99.18	102.63	5031936
04/04/2006	102.9	104.39	102.78	103.61	3929854
05/04/2006	104.39	104.63	103.39	104.08	4564004
07/04/2006	104.57	104.79	102.73	103.2	4241119
10/04/2006	103.15	104.22	102.05	103.55	4603751
12/04/2006	103.41	106.33	101.67	102.62	9379270
13/04/2006	102.78	105.61	102.43	104.82	8754381
17/04/2006	105.25	106.12	104.77	105.43	2983707
18/04/2006	105.72	110.92	105.72	110.37	8211163
19/04/2006	111.31	115.41	110.7	114.14	10659773
20/04/2006	115.78	123.79	115.78	122.9	14912419
21/04/2006	123.83	124.82	118.07	120.72	8650976
24/04/2006	120.73	123.76	119.62	121	6676696
25/04/2006	121.04	121.97	117.76	118.27	3524708
26/04/2006	118.87	121.6	117.9	121.18	4795378
27/04/2006	121.6	130.02	121.6	123.57	9853311
28/04/2006	121.97	125.19	120.24	124.93	6259209
02/05/2006	126.92	129.14	126.8	127.68	3045647
03/05/2006	127.69	129.03	126.44	128.23	2673389
04/05/2006	129.03	138.78	128.78	133.76	14186838
05/05/2006	134.19	137.32	133.98	136.12	5974599
08/05/2006	138.07	144.75	137.69	143.02	7762822
09/05/2006	143.64	144.84	140.67	142.91	7244226
10/05/2006	143.64	145.5	140.82	144.85	10202815
11/05/2006	145.5	146.66	136.33	137.48	12118649
12/05/2006	138.75	138.75	130.88	132.1	8558303
15/05/2006	132.49	132.49	125.26	126.51	9724804
16/05/2006	126.92	130.62	120.85	129.24	12525373
17/05/2006	132.39	135.21	130.64	134.5	5845869
18/05/2006	131.87	132.47	122.9	124.42	9549377
19/05/2006	125.06	131.26	119.06	121.11	13997755
22/05/2006	123.21	123.7	104.01	115.08	12911483
23/05/2006	116.27	121.35	114.07	119.75	8397857
24/05/2006	120.36	120.36	107.11	116.22	11456992
25/05/2006	116.94	119.12	114.23	117.63	9098194
26/05/2006	118.87	122.81	117.95	118.69	6631388
29/05/2006	119.12	121.1	117.76	118.37	3726526
30/05/2006	118.84	121.04	117.02	118.25	3546189
31/05/2006	116.15	119.23	112.93	118.15	9106430
01/06/2006	119.49	119.49	114.54	114.58	8935806
02/06/2006	115.16	119.12	114.55	118.64	5698370
05/06/2006	119.12	120.2	114.55	114.58	5848259
06/06/2006	113.92	114.54	111.44	112.25	8414949
07/06/2006	112.06	113.92	108.82	110.58	11521168
08/06/2006	109.1	109.59	99.93	102.24	11944784
09/06/2006	100.92	115.06	100.92	114.26	11297369
12/06/2006	113.67	117.39	110.61	111.57	7039646
13/06/2006	110.21	110.21	105.38	106.32	7244040
14/06/2006	107.11	110.58	104.41	106.3	8583434
15/06/2006	108.6	111.44	108.04	110.87	6000097
16/06/2006	112.43	117.02	112.43	114.12	6956151
19/06/2006	113.67	116.4	111.82	115.62	4003171
20/06/2006	115.16	115.9	113.42	114.54	4529902
21/06/2006	115.16	119.93	113.67	119.39	6496928
22/06/2006	120.11	123.01	119.76	120.74	4852544
23/06/2006	119.86	125.87	117.89	125.3	6031015
26/06/2006	125.68	126.77	121.04	121.5	7047164
27/06/2006	122.96	125.18	121.29	122.06	12507571
28/06/2006	119.14	124.57	119.14	123.94	6403778
29/06/2006	126.79	127.54	124.01	124.86	6026607
30/06/2006	126.91	131.75	126.91	131.24	5951444
03/07/2006	131.46	133.7	130.55	132.63	4381854
04/07/2006	132.49	134.19	132.25	133.08	3618844
05/07/2006	132.99	136.09	131.89	135.48	4376904
06/07/2006	133.72	135.09	132.64	134.13	4269451
07/07/2006	135.47	135.47	127.08	127.74	6609409
10/07/2006	128.28	130	126.7	129.19	4474993
11/07/2006	129.4	130.36	128.31	129.92	3469398
12/07/2006	128.31	136.21	125.2	135.97	7344439
13/07/2006	134.51	135.59	132.54	133.17	3334343
14/07/2006	131.87	134.1	130.11	132.38	3247287
17/07/2006	131.01	132.3	127.26	127.71	2941065
18/07/2006	127.91	128.78	122.48	124.37	6374130
19/07/2006	125.06	127.53	121	121.73	6736611
20/07/2006	123.45	125.06	122	123.26	7203202
21/07/2006	122.59	123.21	118.33	119.81	6653511
24/07/2006	119.12	120.73	116.58	120.3	5322776
25/07/2006	121.94	122.71	120.98	122.32	3152067
26/07/2006	122.59	124.43	121.49	123.81	2948918
27/07/2006	124.43	125.78	122.37	123.84	4682950
