Date	Open	High	Low	Close	Volume
28/03/2006	237.5	238.88	235.13	235.95	468909
29/03/2006	234.88	237.86	233.38	237.27	535537
30/03/2006	237.86	251.25	237.86	246.01	723021
31/03/2006	244.74	244.74	238.75	239.44	365021
03/04/2006	240.88	244.5	240	243.85	388209
04/04/2006	243.8	245	242.51	243.57	371451
05/04/2006	243.76	245.65	240	241.51	347116
07/04/2006	243.5	249.63	234.38	236.16	923195
10/04/2006	237.5	239.99	235	236.76	879305
12/04/2006	237.28	237.5	220.38	222.6	1644672
13/04/2006	225.63	228.71	221.25	224.65	1075209
17/04/2006	228.13	238.88	226.91	238.32	1211094
18/04/2006	247.25	261	247.25	251.19	1847311
19/04/2006	253.63	256.25	249.75	251.6	1225414
20/04/2006	252.49	253.12	246.88	248.74	787118
21/04/2006	250	253.75	245.63	249.88	621625
24/04/2006	249.75	249.96	245.63	247.41	654351
25/04/2006	247.49	247.49	237.38	240.87	712776
26/04/2006	241	244.5	238.75	242.8	883892
27/04/2006	242.8	250.38	241.25	243.23	895606
28/04/2006	238.38	248.88	228.8	247.26	661545
02/05/2006	248	253.05	247.5	251.65	779910
03/05/2006	253	254.99	251.88	253.95	393520
04/05/2006	253.5	257.24	252.66	255.46	491228
05/05/2006	256.88	256.88	249.38	250.83	338815
08/05/2006	252.63	261.5	251.25	252.43	185589
09/05/2006	254	255.55	250.63	253.11	225049
10/05/2006	255.55	255.88	250.29	252.71	247274
11/05/2006	253.66	253.66	250.68	252.34	245503
12/05/2006	251.38	253.11	246.29	249.52	347142
15/05/2006	247.5	250.13	240	245.11	504313
16/05/2006	244.99	249.38	239.98	246.84	333946
17/05/2006	249.38	252.5	248.75	252.07	167921
18/05/2006	248.75	249.99	237.5	240.71	567795
19/05/2006	243.75	244.98	231.44	236.55	608527
22/05/2006	240	240	218	222.56	587427
23/05/2006	225	234.25	212.63	228.78	673517
24/05/2006	233.75	235	220	223.83	713196
25/05/2006	222.5	237.3	218.13	234.62	729881
26/05/2006	236.25	237.5	230.13	233.3	276023
29/05/2006	233.13	233.13	230.04	231.32	350336
30/05/2006	233.13	236.89	229.38	232.55	564507
31/05/2006	230.14	230.14	216.25	222.86	721232
01/06/2006	228.13	228.13	211.25	213.67	742845
02/06/2006	214.36	225	211	224.25	526695
05/06/2006	224.25	225.55	219.28	220.95	401460
06/06/2006	218.1	223.48	211.25	218.61	371392
07/06/2006	225	225	211.66	212.99	676317
08/06/2006	215.63	215.63	201.4	205.99	670124
09/06/2006	209.31	211.5	203.13	208.9	507739
12/06/2006	212.38	212.38	202.63	204.85	448988
13/06/2006	202.63	203.68	195.13	196.3	342123
14/06/2006	195.24	203.12	181.41	185.46	1598252
15/06/2006	198.25	198.25	187.63	193.82	745920
16/06/2006	198.25	214.38	197.55	210.63	1048771
19/06/2006	210	210.63	204.53	208.55	536761
20/06/2006	211	211	200	200.92	460990
21/06/2006	202.5	205.88	199.38	205.16	745437
22/06/2006	206.25	211.25	206.25	209.6	458513
23/06/2006	206.25	212.5	203.13	211.86	413090
26/06/2006	215	215	202.26	204.19	821882
27/06/2006	207.25	207.25	200	205.57	625329
28/06/2006	202.5	214.07	200.75	212.33	598175
29/06/2006	213.75	215	208.75	210.1	789822
30/06/2006	216.88	220.88	213.21	217.35	681220
03/07/2006	217.75	225.94	216.55	225.03	535690
04/07/2006	226.38	228.88	225.63	226.89	448096
05/07/2006	227.13	232.75	225	230.33	530634
06/07/2006	228.5	229	224.02	225.54	288865
07/07/2006	227.46	228.98	217.5	218.34	366084
10/07/2006	217.5	227.2	217.5	224.8	482414
11/07/2006	225	226.88	220.4	221.24	452373
12/07/2006	222.5	238.63	222.5	236.29	1190202
13/07/2006	236.5	237.35	231.28	233.42	672947
14/07/2006	230	237	228.14	234.29	618726
17/07/2006	235.6	239.25	231.38	232.38	1124604
18/07/2006	232.5	243.75	226.94	229.31	1380492
19/07/2006	235.25	236.88	218.2	219.7	1755798
20/07/2006	221.99	227.5	221.25	225.77	789090
21/07/2006	224.75	225.6	219.08	220.95	548958
24/07/2006	224.38	229	216.88	227.26	853136
25/07/2006	230	231.88	228.13	230.91	579575
26/07/2006	232.25	236.88	229.06	236.1	738590
27/07/2006	236.88	239.99	234.44	237.46	924981
28/07/2006	235.03	243.74	231	232.11	754902
31/07/2006	233.75	241.25	232.5	234.04	431175
01/08/2006	215.75	234.94	215.75	233	440627
02/08/2006	231.25	235.63	230	235.05	446183
03/08/2006	235.63	238	234.28	236.18	752568
04/08/2006	240	240.95	235.75	237.14	668550
07/08/2006	237.75	238	232.75	234.03	429991
08/08/2006	235	239.5	233.75	238.7	294600
09/08/2006	237.5	243.75	235.88	241.53	513030
10/08/2006	240.25	243.75	240	241.44	569781
11/08/2006	242.48	243.46	239.25	241.9	473493
14/08/2006	243.44	243.75	239.75	241.16	430357
16/08/2006	244.75	246.13	242	243.05	951067
17/08/2006	243.75	245.75	239.5	240.04	624292
18/08/2006	241.25	243.13	240	242.43	450910
21/08/2006	244	244	239.25	242.33	603522
22/08/2006	243	245.75	242.5	243.85	544524
23/08/2006	244	244.69	240.03	240.78	624434
24/08/2006	242.5	243.73	238.31	242.6	592463
25/08/2006	242.75	244.23	241.91	243.6	652938
28/08/2006	243.75	246.33	242.08	245.28	575079
29/08/2006	246.25	248	245.75	247.53	669899
30/08/2006	247.78	248.75	245.26	245.95	686193
31/08/2006	246	251	246	249.51	1519214
01/09/2006	249	250.25	247.78	249.81	432182
04/09/2006	249.75	255	249.75	254.29	502623
05/09/2006	255.75	257.5	250.25	251.45	986322
06/09/2006	254.38	254.38	247.78	248.4	700108
07/09/2006	245.08	248.75	245.08	246.68	395896
08/09/2006	251.5	251.5	246.25	247.75	392641
11/09/2006	249.75	249.75	237.25	238.36	1018370
12/09/2006	238.75	245	238	244.48	458814
13/09/2006	245.75	252	245.25	249.99	576908
14/09/2006	252.25	254	250.48	253.35	597182
15/09/2006	253.5	253.5	249.18	250.68	589925
18/09/2006	251.75	252.75	248.03	249.04	347597
19/09/2006	249.25	255	247.6	252.51	993486
20/09/2006	252.75	258.5	248.53	257.51	673974
21/09/2006	258	264.48	254.5	263.25	1276796
22/09/2006	261.25	263.46	257.52	259.89	622161
25/09/2006	261.75	262.5	255.56	256.4	337395
26/09/2006	257.5	262.5	256.23	261.08	929252
27/09/2006	262.5	263.75	259.04	260.66	838185
28/09/2006	261.26	262.25	253.25	255.11	1530393
29/09/2006	255.53	258.77	255	255.51	438201
03/10/2006	258.75	258.75	252.25	253.58	408178
04/10/2006	254	254	245.84	246.85	1736907
05/10/2006	249.5	252.25	248.25	249.94	1462350
06/10/2006	250.25	251.75	247	248.55	691736
09/10/2006	246.25	252.25	245.14	250.54	386708
10/10/2006	250.75	254.45	250.75	252.88	692445
11/10/2006	257.5	269.85	257.5	261.19	1693429
12/10/2006	262.5	271.25	260.25	270.64	1263212
13/10/2006	272.35	280	270.52	275.9	1218528
16/10/2006	281.25	287.5	278.75	282.43	2431765
17/10/2006	285.5	292.44	277.5	279.23	2187304
18/10/2006	277.52	279.25	275.25	276.56	1248771
19/10/2006	276.5	278.19	270.66	273.1	775905
20/10/2006	275	275.5	271.52	272.4	532351
23/10/2006	273.73	273.73	265.35	270.02	331976
26/10/2006	270.25	272.98	268.75	269.81	1285053
27/10/2006	270.29	272.5	265.6	268.66	781602
30/10/2006	269	272	265.05	269.84	1038543
31/10/2006	270	274.7	268.77	271.77	857734
01/11/2006	274.25	276.48	270.08	270.8	477726
02/11/2006	272.5	272.5	268	270.01	551094
03/11/2006	271.25	272	264.5	266.74	786110
06/11/2006	266.63	267.48	264	264.85	634223
